log_id,tender_id,module_name,workflow_execution_id,status,started_at,completed_at,duration_seconds,output_data,error_message,tracking_id,stage,message,error_details
6,,,,started,2025-11-20 09:12:36.895491,,,,,9c61e5d9-4b5a-4e1c-8265-cfbdb1d2838d,document_processing,,
7,,,,started,2025-11-20 09:13:17.878741,,,,,4e3d8aaa-e7ae-408b-bca2-51b85cf7465f,document_processing,,
8,,,,started,2025-11-20 09:13:26.560355,,,,,9a9a7bf2-592a-4735-a3fc-34ce57f2c073,document_processing,,
9,,,,started,2025-11-20 09:13:36.045748,,,,,516cf11f-309a-40d6-a1d7-f945e7a37ee6,document_processing,,
10,2,,,completed,2025-11-20 09:14:57.059095,2025-11-20 01:15:26.887133,30,,,516cf11f-309a-40d6-a1d7-f945e7a37ee6,document_processing,"Successfully processed 6 pages, 2 chunks",
11,2,,,completed,2025-11-20 09:15:28.606898,2025-11-20 01:15:38.385794,10,,,40abb17c-1fac-4065-9097-026e55b7665b,document_processing,"Successfully processed 3 pages, 1 chunks",
12,2,,,completed,2025-11-20 09:15:40.276647,2025-11-20 01:16:17.821263,37,,,04336799-9aa2-453a-bfc2-bf1dccab08f7,document_processing,"Successfully processed 8 pages, 3 chunks",
13,2,,,completed,2025-11-20 09:16:20.133419,2025-11-20 01:16:40.105856,20,,,d73a0386-d6aa-40b6-9508-a7d0f980b50d,document_processing,"Successfully processed 4 pages, 1 chunks",
14,2,,,completed,2025-11-20 09:16:42.274601,2025-11-20 01:17:23.625062,41,,,b6a0ab2c-ba41-43b9-b2a3-4d7d4ddbce23,document_processing,"Successfully processed 8 pages, 3 chunks",
15,2,,,completed,2025-11-20 09:17:25.336972,2025-11-20 01:19:25.060834,120,,,c16461d5-09a0-42a6-8d47-7fad873ee59e,document_processing,"Successfully processed 14 pages, 7 chunks",
16,3,,,completed,2025-11-20 09:22:28.354610,2025-11-20 01:22:41.986806,14,,,2f122eca-9fd5-4760-a50d-af3d6de708c9,document_processing,"Successfully processed 5 pages, 1 chunks",
17,3,,,completed,2025-11-20 09:22:44.173721,2025-11-20 01:22:52.533857,8,,,5de96bd0-c030-4988-91b9-59a037c4109e,document_processing,"Successfully processed 3 pages, 1 chunks",
18,,,,started,2025-11-20 09:22:54.924496,,,,,8ff1ee89-a856-4631-81fd-919b05ba4518,document_processing,,
19,3,,,completed,2025-11-20 09:23:01.286994,2025-11-20 01:23:10.268079,9,,,94da3e66-4af5-49f2-8294-8a062c9eb760,document_processing,"Successfully processed 3 pages, 1 chunks",
20,3,,,completed,2025-11-20 09:23:15.485913,2025-11-20 01:23:39.808604,24,,,9cc38131-032d-4fdc-8d5d-d18bd7a83baa,document_processing,"Successfully processed 5 pages, 2 chunks",
21,3,,,completed,2025-11-20 09:23:41.786338,2025-11-20 01:25:16.608803,95,,,c6cba908-7a08-42be-9d0c-74c64d30bd7c,document_processing,"Successfully processed 28 pages, 14 chunks",
22,3,,,completed,2025-11-20 09:25:18.826379,2025-11-20 01:25:38.866591,20,,,dd3173c3-d5d4-45ec-9a4e-69381c8a79e9,document_processing,"Successfully processed 5 pages, 2 chunks",
23,3,,,completed,2025-11-20 09:25:40.836090,2025-11-20 01:26:13.472910,33,,,0bd31ba6-dd9b-4316-926d-27e9fa1d16da,document_processing,"Successfully processed 6 pages, 2 chunks",
24,3,,,completed,2025-11-20 09:26:15.525730,2025-11-20 01:26:26.653706,11,,,bfa93e8f-4be0-4229-8595-81a70d1685f7,document_processing,"Successfully processed 3 pages, 1 chunks",
25,3,,,completed,2025-11-20 09:26:28.325665,2025-11-20 01:27:08.844765,40,,,db5b058f-8f63-423e-b420-07aeef599c78,document_processing,"Successfully processed 11 pages, 3 chunks",
26,3,,,completed,2025-11-20 09:27:10.979592,2025-11-20 01:27:26.649824,16,,,0da8efe6-621a-400c-b4e0-4da13635a36f,document_processing,"Successfully processed 4 pages, 1 chunks",
27,3,,,completed,2025-11-20 09:27:28.578237,2025-11-20 01:28:20.314948,52,,,6e1c4096-5100-4260-871a-544126b7cc3d,document_processing,"Successfully processed 12 pages, 6 chunks",
28,3,,,completed,2025-11-20 09:28:22.050976,2025-11-20 01:29:00.503343,38,,,f525b99f-5f39-432f-adde-9994381baaa9,document_processing,"Successfully processed 7 pages, 3 chunks",
29,3,,,completed,2025-11-20 09:29:02.217990,2025-11-20 01:29:15.407183,13,,,558b9a63-e1a7-4d16-9e1d-f3b741183779,document_processing,"Successfully processed 5 pages, 1 chunks",
30,3,,,completed,2025-11-20 09:29:16.831396,2025-11-20 01:29:25.637039,9,,,bd55f2bc-ecc9-4e61-9586-ec31fc9531f7,document_processing,"Successfully processed 3 pages, 1 chunks",
31,3,,,completed,2025-11-20 09:29:27.674554,2025-11-20 01:29:59.576931,32,,,0114a464-f092-4f4c-9ee9-3c120e76ea5e,document_processing,"Successfully processed 5 pages, 2 chunks",
32,3,,,completed,2025-11-20 09:30:01.362143,2025-11-20 01:30:10.181556,9,,,3a83a489-b2cd-4274-8372-6960b1bde9db,document_processing,"Successfully processed 3 pages, 1 chunks",
33,3,,,completed,2025-11-20 09:30:12.721572,2025-11-20 01:30:39.826955,27,,,e4954cd7-7d61-41b3-b938-aff28a062b02,document_processing,"Successfully processed 5 pages, 2 chunks",
34,3,,,completed,2025-11-20 09:30:41.828026,2025-11-20 01:32:22.975015,101,,,186ae424-96e0-4987-8f95-d7c4355712df,document_processing,"Successfully processed 28 pages, 14 chunks",
35,3,,,completed,2025-11-20 09:32:24.732853,2025-11-20 01:32:47.425408,23,,,4d7450d6-1ca6-42c3-8299-2e51fa139aeb,document_processing,"Successfully processed 5 pages, 2 chunks",
36,3,,,completed,2025-11-20 09:32:49.282707,2025-11-20 01:33:21.272550,32,,,b1152588-f192-4569-a2ad-1ff3e1ec7605,document_processing,"Successfully processed 6 pages, 2 chunks",
37,3,,,completed,2025-11-20 09:33:23.112884,2025-11-20 01:33:32.402779,9,,,7c667beb-fba2-472d-bbd1-fa83b2048f29,document_processing,"Successfully processed 3 pages, 1 chunks",
38,3,,,completed,2025-11-20 09:33:34.644896,2025-11-20 01:34:05.612842,31,,,e235a729-b2b8-405d-81d9-b5eec9cebc70,document_processing,"Successfully processed 11 pages, 3 chunks",
