criteria_id,tender_id,criteria_type,criteria_description,criteria_value,is_met,confidence_score,notes,checked_date,source,introduced_by_addendum_id,added_date,requires_recheck,action_recommendation
439,43,financial,Financial Capacity (Clause 2.1),,,,,,original,,2025-11-22 05:26:11.178576,False,
440,43,financial,Banking Confirmation (Clause 2.2),,,,,,original,,2025-11-22 05:26:11.178576,False,
441,43,license,Licences & Registrations (Clause 2.3),,,,,,original,,2025-11-22 05:26:11.178576,False,
442,43,license,Certifications (Clause 2.4),,,,,,original,,2025-11-22 05:26:11.178576,False,
443,43,financial,Insurance Coverage (Clause 2.5),,,,,,original,,2025-11-22 05:26:11.178576,False,
444,43,experience,Experience (Clause 2.6),,,,,,original,,2025-11-22 05:26:11.178576,False,
445,43,technical,Safety & Quality Assurance (Clause 2.7),,,,,,original,,2025-11-22 05:26:11.178576,False,
446,43,financial,Financial Requirements (Clause 5.1),,,,,,original,,2025-11-22 05:26:11.178576,False,
447,43,license,License Requirements (Clause 5.2),,,,,,original,,2025-11-22 05:26:11.178576,False,
448,43,license,Certification Requirements (Clause 5.3),,,,,,original,,2025-11-22 05:26:11.178576,False,
449,43,financial,Insurance Requirements (Clause 5.4),,,,,,original,,2025-11-22 05:26:11.178576,False,
450,43,experience,Experience Requirements (Clause 5.5),,,,,,original,,2025-11-22 05:26:11.178576,False,
451,43,technical,Safety Requirements (Clause 5.6),,,,,,original,,2025-11-22 05:26:11.178576,False,
452,43,technical,Quality Requirements (Clause 5.7),,,,,,original,,2025-11-22 05:26:11.178576,False,
453,43,financial,Banking and Auditor Requirements (Clause 5.8),,,,,,original,,2025-11-22 05:26:11.178576,False,
454,43,financial,Eligibility Criteria – Financial Capacity (Section 5.1),,,,,,original,,2025-11-22 05:26:52.811729,False,
455,43,license,License Requirements (Section 5.2),,,,,,original,,2025-11-22 05:26:52.811729,False,
456,43,experience,Experience Requirements (Section 5.5),,,,,,original,,2025-11-22 05:26:52.811729,False,
457,43,financial,Financial Requirements (Clause 2),,,,,,original,,2025-11-22 05:27:33.507596,False,
458,43,financial,Banking Requirements (Clause 3),,,,,,original,,2025-11-22 05:27:33.507596,False,
459,43,license,Licenses & Registrations (mandatory) (Clause 4),,,,,,original,,2025-11-22 05:27:33.507596,False,
460,43,experience,Experience Requirements (Clause 7),,,,,,original,,2025-11-22 05:27:33.507596,False,
461,43,financial,Financial Capability (Section 5.1),,,,,,original,,2025-11-22 05:27:33.507596,False,
462,43,license,Licences and Registrations (Section 5.2),,,,,,original,,2025-11-22 05:27:33.507596,False,
463,43,experience,Experience (Section 5.5),,,,,,original,,2025-11-22 05:27:33.507596,False,
464,43,financial,Banking and Auditor Confirmation (Section 5.8),,,,,,original,,2025-11-22 05:27:33.507596,False,
465,43,technical,"Technical proposal, methodology and programme (Checklist item 10)",,,,,,original,,2025-11-22 05:27:33.507596,False,
466,44,financial,Financial Capability (Clause 2.1),,,,,,original,,2025-11-22 05:50:42.179553,False,
467,44,license,Licensing & Registrations (Clause 2.2),,,,,,original,,2025-11-22 05:50:42.179553,False,
468,44,experience,Experience (Clause 2.5),,,,,,original,,2025-11-22 05:50:42.179553,False,
469,44,financial,Financial Requirements (Clause 5.1),,,,,,original,,2025-11-22 05:50:42.179553,False,
470,44,license,Licences and Registrations (Clause 5.2),,,,,,original,,2025-11-22 05:50:42.179553,False,
471,44,experience,Experience Requirements (Clause 5.5),,,,,,original,,2025-11-22 05:50:42.179553,False,
