received_doc_id,tender_reference_number,document_name,file_path,file_size_kb,file_hash,received_date,uploaded_by
1,HDB000ETT25000023 / PCG-TN250018,B_-_Table_of_Contents1_1.pdf,https://drive.google.com/file/d/16w-1NbszTLXOPh2gu3zVu_zzwwQ8-yjs/view?usp=drivesdk,153,,2025-11-19 03:47:08,team.skills.apex@gmail.com
2,HDB000ETT25000023 / PCG-TN250018,B_-_Table_of_Contents1_1.pdf,https://drive.google.com/file/d/16w-1NbszTLXOPh2gu3zVu_zzwwQ8-yjs/view?usp=drivesdk,153,,2025-11-19 03:47:08,team.skills.apex@gmail.com
0,HDB000ETT25000023 / PCG-TN250018,B_-_Table_of_Contents1_1.pdf,https://drive.google.com/file/d/16w-1NbszTLXOPh2gu3zVu_zzwwQ8-yjs/view?usp=drivesdk,153,,2025-11-19 03:47:08,team.skills.apex@gmail.com
3,HDB000ETT25000023 / PCG-TN250018,B_-_Table_of_Contents1_1.pdf,https://drive.google.com/file/d/16w-1NbszTLXOPh2gu3zVu_zzwwQ8-yjs/view?usp=drivesdk,153,,2025-11-19 03:47:08,team.skills.apex@gmail.com
5,HDB000ETT25000023 / PCG-TN250018,B_-_Table_of_Contents1_1.pdf,https://drive.google.com/file/d/16w-1NbszTLXOPh2gu3zVu_zzwwQ8-yjs/view?usp=drivesdk,153,,2025-11-19 03:47:08,team.skills.apex@gmail.com
6,HDB000ETT25000023 / PCG-TN250018,B_-_Table_of_Contents1_1.pdf,https://drive.google.com/file/d/1Uoqz5fTXKcZ_QnW_TaphilCdDzdzAttq/view?usp=drivesdk,153,,2025-11-19 03:47:08,team.skills.apex@gmail.com
7,HDB000ETT25000023 / PCG-TN250018,2._Index_1.pdf,https://drive.google.com/file/d/188h6O8qp19_4l1rITql5Vfzck9hcB8h7/view?usp=drivesdk,120,,2025-11-19 03:47:08,team.skills.apex@gmail.com
8,HDB000ETT25000023 / PCG-TN250018,01010_-_Summary_of_Works_1.pdf,https://drive.google.com/file/d/1xZ-_fX60FIPS5eKf2rk2Z5666_iIJOen/view?usp=drivesdk,160,,2025-11-19 03:47:08,team.skills.apex@gmail.com
9,HDB000ETT25000023 / PCG-TN250018,Contract_Agreement_1.pdf,https://drive.google.com/file/d/1B4r7vGGD9Tw8vpW3rmflNXAgkfS0lw6f/view?usp=drivesdk,129,,2025-11-19 03:47:08,team.skills.apex@gmail.com
10,HDB000ETT25000023 / PCG-TN250018,"C_-_General_Conditions,_1.pdf",https://drive.google.com/file/d/1bhT2oLpKTDL-BI0_K3_6JlwCC00MsPkW/view?usp=drivesdk,254,,2025-11-19 03:47:08,team.skills.apex@gmail.com
11,HDB000ETT25000023 / PCG-TN250018,A_-_Title_Page1_1.pdf,https://drive.google.com/file/d/1a6CQ2eA8W1oce71PMVZmoZUVC5N0l1Oh/view?usp=drivesdk,155,,2025-11-19 03:47:08,team.skills.apex@gmail.com
12,HDB000ETT25000023 / PCG-TN250018,Project_Description_1.pdf,https://drive.google.com/file/d/1QPQ61tpPvfhS0O84FUNFgoWmMFe3nJpy/view?usp=drivesdk,120,,2025-11-19 03:47:08,team.skills.apex@gmail.com
13,HDB000ETT25000023 / PCG-TN250018,H_-_Title_Page1_1.pdf,https://drive.google.com/file/d/1tideHbzKYh6lShIC3q2_D0WEf8TytYqs/view?usp=drivesdk,157,,2025-11-19 03:47:08,team.skills.apex@gmail.com
14,HDB000ETT25000023 / PCG-TN250018,G_-_Appendix_4_-_Project_Milestones_Schedule1_1.pdf,https://drive.google.com/file/d/179U_gpPAamKWgoQ1ZYIjvwmyeXbe8Yda/view?usp=drivesdk,123,,2025-11-19 03:47:08,team.skills.apex@gmail.com
15,HDB000ETT25000023 / PCG-TN250018,E_-_Appendix_3-Form_of_Acknowledgement1_1.pdf,https://drive.google.com/file/d/1OwXaCVf9FKwOeZuCoyd9-CkZwEpT-dvS/view?usp=drivesdk,130,,2025-11-19 03:47:08,team.skills.apex@gmail.com
16,HDB000ETT25000023 / PCG-TN250018,C_-_Appendix_1-Form_of_Tender_&_Appendix_to_Tender1_1.pdf,https://drive.google.com/file/d/15PXuDdMwSHSBFJxRlMmLDP26VBXECIjO/view?usp=drivesdk,171,,2025-11-19 03:47:08,team.skills.apex@gmail.com
17,HDB000ETT25000023 / PCG-TN250018,B_-_Instructions_to_Tenderers_1.pdf,https://drive.google.com/file/d/1mTjy32ZA72FYWngnYvjJq-MyhGVMYEc3/view?usp=drivesdk,193,,2025-11-19 03:47:08,team.skills.apex@gmail.com
18,HDB000ETT25000023 / PCG-TN250018,D_-_Appendix_2-Tender_Bond1_1.pdf,https://drive.google.com/file/d/1JoC_XL_LBJMGFG5hXbrgWUh1dEtEtDzK/view?usp=drivesdk,130,,2025-11-19 03:47:08,team.skills.apex@gmail.com
19,HDB000ETT25000023 / PCG-TN250018,B_-_Table_of_Contents1_1.pdf,https://drive.google.com/file/d/1a3enNJdFegMXaZtccAJ0oiOko_IJkeOr/view?usp=drivesdk,153,,2025-11-19 03:47:08,team.skills.apex@gmail.com
20,HDB000ETT25000023 / PCG-TN250018,2._Index_1.pdf,https://drive.google.com/file/d/1tEYVQkDTxnFsZqagUFFDZ1sInfNTU0DG/view?usp=drivesdk,120,,2025-11-19 03:47:08,team.skills.apex@gmail.com
21,HDB000ETT25000023 / PCG-TN250018,01010_-_Summary_of_Works_1.pdf,https://drive.google.com/file/d/1aQQoFPYt_qGjq-0CYCHTRi9q-A5nhxtq/view?usp=drivesdk,160,,2025-11-19 03:47:08,team.skills.apex@gmail.com
22,HDB000ETT25000023 / PCG-TN250018,Contract_Agreement_1.pdf,https://drive.google.com/file/d/1UJ1McJqIa1473baZUjGAIpRSfFBGUBnY/view?usp=drivesdk,129,,2025-11-19 03:47:08,team.skills.apex@gmail.com
23,HDB000ETT25000023 / PCG-TN250018,"C_-_General_Conditions,_1.pdf",https://drive.google.com/file/d/1irZAlo8y31eOJ-QafI48lP9Fpw_tUT7X/view?usp=drivesdk,254,,2025-11-19 03:47:08,team.skills.apex@gmail.com
24,HDB000ETT25000023 / PCG-TN250018,A_-_Title_Page1_1.pdf,https://drive.google.com/file/d/1hXEoPeKb19A_gUlH_shpSTWVNg5UHooA/view?usp=drivesdk,155,,2025-11-19 03:47:08,team.skills.apex@gmail.com
25,HDB000ETT25000023 / PCG-TN250018,Project_Description_1.pdf,https://drive.google.com/file/d/1Nx-QAoBteLdw3dcgVwpCgpv_xxoMcHC2/view?usp=drivesdk,120,,2025-11-19 03:47:08,team.skills.apex@gmail.com
26,HDB000ETT25000023 / PCG-TN250018,H_-_Title_Page1_1.pdf,https://drive.google.com/file/d/18D4gIOntqEa3HcUHm4N6E5-c6qawa5Ah/view?usp=drivesdk,157,,2025-11-19 03:47:08,team.skills.apex@gmail.com
27,HDB000ETT25000023 / PCG-TN250018,G_-_Appendix_4_-_Project_Milestones_Schedule1_1.pdf,https://drive.google.com/file/d/1TPjdshDqMi-rGub9WwLYCtb_AbJqy_m7/view?usp=drivesdk,123,,2025-11-19 03:47:08,team.skills.apex@gmail.com
28,HDB000ETT25000023 / PCG-TN250018,E_-_Appendix_3-Form_of_Acknowledgement1_1.pdf,https://drive.google.com/file/d/1AcijQFI_XDEC-yUP2fKLzKuRixiPu-fP/view?usp=drivesdk,130,,2025-11-19 03:47:08,team.skills.apex@gmail.com
29,HDB000ETT25000023 / PCG-TN250018,C_-_Appendix_1-Form_of_Tender_&_Appendix_to_Tender1_1.pdf,https://drive.google.com/file/d/1iROK93cvuvv4xjeUTttD5YoaAT8j58Ut/view?usp=drivesdk,171,,2025-11-19 03:47:08,team.skills.apex@gmail.com
30,HDB000ETT25000023 / PCG-TN250018,B_-_Instructions_to_Tenderers_1.pdf,https://drive.google.com/file/d/1DMRpUSv7dZPGRjjpqDOuESLt-Dz0RNcz/view?usp=drivesdk,193,,2025-11-19 03:47:08,team.skills.apex@gmail.com
31,HDB000ETT25000023 / PCG-TN250018,D_-_Appendix_2-Tender_Bond1_1.pdf,https://drive.google.com/file/d/1ounPoYVEn7nLqvh3CjucARrYwi4yK6-b/view?usp=drivesdk,130,,2025-11-19 03:47:08,team.skills.apex@gmail.com
